doc_id,title,owner_dept,category_l1,permission_level,current_version_no,content_process_status,chunk_status,canonical_json_key
DOC_ADMIN_20260513120214_12740B,保安巡查记录表（北门）.xlsx,admin,template,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260513120214_12740B/v2/content.canonical.json
DOC_ADMIN_20260513120214_6469A5,《结算水电房费》作业指导书.docx,admin,sop,public,3,DONE,DONE,processing/canonical/DOC_ADMIN_20260513120214_6469A5/v3/content.canonical.json
DOC_ADMIN_20260513120214_BF68EA,保安巡查记录表.xlsx,admin,template,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260513120214_BF68EA/v2/content.canonical.json
DOC_ADMIN_20260513120214_CF0FB6,公务车私车公用管理制度.docx,admin,policy,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260513120214_CF0FB6/v2/content.canonical.json
DOC_ADMIN_20260513120215_233653,关于外来人员来访留宿相关规定(最终版）.docx,admin,policy,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260513120215_233653/v2/content.canonical.json
DOC_ADMIN_20260513120215_5388F6,关于外来人员来访留宿相关规定.docx,admin,policy,public,3,DONE,DONE,processing/canonical/DOC_ADMIN_20260513120215_5388F6/v3/content.canonical.json
DOC_ADMIN_20260513120215_C55060,员工入住须知.docx,admin,policy,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260513120215_C55060/v2/content.canonical.json
DOC_ADMIN_20260513120215_C9C8EA,外来人员留宿协议书(1).docx,admin,template,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260513120215_C9C8EA/v2/content.canonical.json
DOC_ADMIN_20260513120215_CF6542,外来人员入厂告知书 （新）.docx,admin,policy,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260513120215_CF6542/v2/content.canonical.json
DOC_ADMIN_20260513120215_F78539,外来人员入厂告知书 （松门）.docx,admin,policy,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260513120215_F78539/v2/content.canonical.json
DOC_ADMIN_20260513120216_2CBC7D,岗位工作分析表（模版）颜安林.xlsx,admin,template,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260513120216_2CBC7D/v2/content.canonical.json
DOC_ADMIN_20260513120216_40D252,外来人员留宿登记表.xlsx,admin,template,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260513120216_40D252/v2/content.canonical.json
DOC_ADMIN_20260513120216_8EE108,工作内容描述表申岗.xlsx,admin,template,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260513120216_8EE108/v2/content.canonical.json
DOC_ADMIN_20260513120216_B551BE,宿舍行为准则及奖罚.docx,admin,policy,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260513120216_B551BE/v2/content.canonical.json
DOC_ADMIN_20260513120217_136674,首问负责制管理制度(1).pdf,admin,policy,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260513120217_136674/v2/content.canonical.json
DOC_ADMIN_20260513120217_38F6BC,工作服管理规定5.6.docx,admin,policy,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260513120217_38F6BC/v2/content.canonical.json
DOC_ADMIN_20260513120217_64F432,车辆停放示意图.xlsx,admin,reference,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260513120217_64F432/v2/content.canonical.json
DOC_ADMIN_20260513120217_BA793F,通知（进出厂规定）.pdf,admin,policy,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260513120217_BA793F/v2/content.canonical.json
DOC_ADMIN_20260513120217_FA8BFE,私车公用.png,admin,policy,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260513120217_FA8BFE/v2/content.canonical.json
DOC_ADMIN_20260514123015_0C7500,厨房制度.docx,admin,policy,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260514123015_0C7500/v2/content.canonical.json
DOC_ADMIN_20260514123015_1B0B2E,富岭《宿舍管理规定》（定稿）.docx,admin,policy,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260514123015_1B0B2E/v2/content.canonical.json
DOC_ADMIN_20260514123015_5A7536,工作内容描述表郭海龙.xlsx,admin,record,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260514123015_5A7536/v2/content.canonical.json
DOC_ADMIN_20260514123015_738B18,工作内容描述表包依婷.xlsx,admin,record,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260514123015_738B18/v2/content.canonical.json
DOC_ADMIN_20260514123015_98540A,工作内容描述表徐正洪.xlsx,admin,template,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260514123015_98540A/v2/content.canonical.json
DOC_ADMIN_20260514123015_CE12F3,宿舍管理制度.docx,admin,policy,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260514123015_CE12F3/v2/content.canonical.json
DOC_ADMIN_20260514123016_45B43F,食堂管理制度.docx,admin,policy,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260514123016_45B43F/v2/content.canonical.json
DOC_ADMIN_20260514123016_B92E9E,车辆进出管理规定.docx,admin,sop,public,2,DONE,DONE,processing/canonical/DOC_ADMIN_20260514123016_B92E9E/v2/content.canonical.json
DOC_FINANCE_20260611201418_04C4D4,FL-CW-CW-004《采购发票核销》作业指导书.pdf,finance,sop,public,1,DONE,DONE,processing/canonical/DOC_FINANCE_20260611201418_04C4D4/v1/content.canonical.json
DOC_FINANCE_20260611201418_0E0E89,富岭科技股份有限公司内部控制手册V2 (2).docx,finance,reference,public,1,DONE,DONE,processing/canonical/DOC_FINANCE_20260611201418_0E0E89/v1/content.canonical.json
DOC_FINANCE_20260611201418_36A13E,CWZD-023福利发放备案制度.docx,finance,policy,public,1,DONE,DONE,processing/canonical/DOC_FINANCE_20260611201418_36A13E/v1/content.canonical.json
DOC_FINANCE_20260611201418_8D4BC2,印花税申报操作规程.docx,finance,sop,public,1,DONE,DONE,processing/canonical/DOC_FINANCE_20260611201418_8D4BC2/v1/content.canonical.json
DOC_FINANCE_20260611201418_9873FF,CWZD-017-出差管理制度（第3版）.docx,finance,policy,public,1,DONE,DONE,processing/canonical/DOC_FINANCE_20260611201418_9873FF/v1/content.canonical.json
DOC_FINANCE_20260611201418_9CFE36,台州富岭领、付款审批制度2019.11.4.pdf,finance,policy,public,1,DONE,DONE,processing/canonical/DOC_FINANCE_20260611201418_9CFE36/v1/content.canonical.json
DOC_FINANCE_20260611201418_B16A13,增值税申报操作规程 .docx,finance,sop,public,1,DONE,DONE,processing/canonical/DOC_FINANCE_20260611201418_B16A13/v1/content.canonical.json
DOC_FINANCE_20260611201418_C64FBD,FL-CW-SW-005《生产企业出口退税单证备案》作业指导书.pdf,finance,sop,public,1,DONE,DONE,processing/canonical/DOC_FINANCE_20260611201418_C64FBD/v1/content.canonical.json
